timestep, id, lat, long, angle, speed, RSSI, throughput
65.00, 3, 37.971603, 23.759973, 109.674099, 5.617784, 38.260115517876514, 19.130057758938257
66.00, 1, 37.967419, 23.770366, 279.084101, 5.893475, 67.62536639565414, 33.81268319782707
66.00, 2, 37.970683, 23.762003, 120.142714, 5.216981, 28.727032507852044, 14.363516253926022
66.00, 3, 37.971585, 23.760032, 109.674099, 5.617784, 84.12537150118877, 42.06268575059438
67.00, 1, 37.967429, 23.770300, 279.084101, 5.893475, 94.19792560033122, 47.09896280016561
67.00, 2, 37.970658, 23.762054, 120.440509, 5.216981, 71.68408113764238, 35.84204056882119
67.00, 3, 37.971565, 23.760091, 111.029811, 5.617784, 83.0352002271502, 41.5176001135751
68.00, 1, 37.967439, 23.770234, 279.084101, 5.893475, 74.33092745117862, 37.16546372558931
68.00, 2, 37.970632, 23.762103, 121.237956, 5.216981, 76.82620430044494, 38.41310215022247
68.00, 3, 37.971544, 23.760150, 112.446075, 5.617784, 45.03027310226069, 22.515136551130347
69.00, 1, 37.967449, 23.770168, 279.203446, 5.893475, 41.883821807083216, 20.941910903541608
69.00, 2, 37.970607, 23.762153, 121.237956, 5.216981, 52.114652906565595, 26.057326453282798
69.00, 3, 37.971524, 23.760208, 112.446075, 5.617784, 34.27454846502418, 17.13727423251209
70.00, 1, 37.967459, 23.770102, 278.889257, 5.893475, 70.41046058077096, 35.20523029038548
70.00, 2, 37.970581, 23.762203, 121.237956, 5.216981, 37.803370101421514, 18.901685050710757
70.00, 3, 37.971503, 23.760266, 112.446075, 5.617784, 30.32454799968097, 15.162273999840483
71.00, 1, 37.967464, 23.770036, 274.400264, 5.893475, 68.40099087824215, 34.20049543912108
71.00, 2, 37.970556, 23.762253, 121.237956, 5.216981, 52.91073882188786, 26.45536941094393
71.00, 3, 37.971479, 23.760323, 116.914105, 5.617784, 53.33339992953511, 26.666699964767552
72.00, 1, 37.967470, 23.769969, 274.400264, 5.893475, 85.3080162167184, 42.6540081083592
72.00, 2, 37.970530, 23.762303, 121.237956, 5.216981, 55.01517855811189, 27.507589279055942
72.00, 3, 37.971454, 23.760378, 117.866134, 5.617784, 71.8976770313032, 35.9488385156516
73.00, 1, 37.967476, 23.769902, 274.400264, 5.893475, 59.94806659053641, 29.974033295268203
73.00, 2, 37.970505, 23.762353, 121.200774, 5.216981, 45.715753010505544, 22.857876505252772
73.00, 3, 37.971429, 23.760434, 117.866134, 5.617784, 44.847937513031056, 22.423968756515528
74.00, 1, 37.967481, 23.769836, 274.400264, 5.893475, 61.43368058562927, 30.716840292814634
74.00, 2, 37.970479, 23.762402, 120.995707, 5.216981, 77.56208935757724, 38.78104467878862
74.00, 3, 37.971404, 23.760490, 117.866134, 5.617784, 68.37778823255495, 34.188894116277474
75.00, 1, 37.967487, 23.769769, 274.400264, 5.893475, 75.19333085120348, 37.59666542560174
75.00, 2, 37.970454, 23.762452, 120.995707, 5.216981, 70.61855728804512, 35.30927864402256
75.00, 3, 37.971379, 23.760545, 117.866134, 5.617784, 69.83968728439515, 34.91984364219758
76.00, 1, 37.967493, 23.769702, 274.400264, 5.893475, 36.27410278934069, 18.137051394670344
76.00, 2, 37.970429, 23.762502, 120.995707, 5.216981, 53.49392271028035, 26.746961355140176
76.00, 3, 37.971354, 23.760601, 117.866134, 5.617784, 57.79069190929835, 28.895345954649176
77.00, 1, 37.967498, 23.769636, 274.400264, 5.893475, 64.66100876154292, 32.33050438077146
77.00, 2, 37.970403, 23.762552, 120.995707, 5.216981, 51.760296243373126, 25.880148121686563
77.00, 3, 37.971329, 23.760656, 117.866134, 5.617784, 78.99500651762713, 39.497503258813566
78.00, 1, 37.967504, 23.769569, 274.400264, 5.893475, 54.90364853769943, 27.451824268849716
78.00, 2, 37.970378, 23.762602, 120.829739, 5.216981, 62.570193903808104, 31.285096951904052
78.00, 3, 37.971304, 23.760712, 117.965896, 5.617784, 35.23757089490011, 17.618785447450055
79.00, 1, 37.967510, 23.769502, 274.400264, 5.893475, 99.05188435531254, 49.52594217765627
79.00, 2, 37.970353, 23.762652, 120.626749, 5.216981, 76.96095343556122, 38.48047671778061
79.00, 3, 37.971279, 23.760767, 118.018841, 5.617784, 52.934770756093656, 26.467385378046828
80.00, 1, 37.967515, 23.769436, 274.400264, 5.893475, 71.71482969946132, 35.85741484973066
80.00, 2, 37.970328, 23.762703, 120.626749, 5.216981, 68.98290472223248, 34.49145236111624
80.00, 3, 37.971254, 23.760823, 118.018841, 5.617784, 99.64950588789438, 49.82475294394719
