16521 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16524 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16527 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16530 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16533 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16536 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 3
16539 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 2.0
16542 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16545 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16548 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16551 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16554 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16557 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16560 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16563 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 3
16566 -- turns into : 6 - strength solo/opposite : 3 , strenght mutual/opposite : 3
16569 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 0.5
16572 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16575 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16578 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16581 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16584 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16587 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16590 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 1.0
16593 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 2.0
16596 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 0.5
16599 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 0.5
16602 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 2
16605 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16608 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 2
16611 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 2
16614 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16617 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 2
16620 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 2
16623 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16626 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 3
16629 -- turns into : 6 - strength solo/opposite : 2.0 , strenght mutual/opposite : 2.0
16632 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16635 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 3
16638 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 3
16641 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16644 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 2
16647 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 2
16650 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16653 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 3
16656 -- turns into : 6 - strength solo/opposite : 3 , strenght mutual/opposite : 3
16659 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 0.5
16662 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 3
16665 -- turns into : 6 - strength solo/opposite : 3 , strenght mutual/opposite : 3
16668 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16671 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 2
16674 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 2
16677 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16680 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 2
16683 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 3
16686 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16689 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 2.0
16692 -- turns into : 6 - strength solo/opposite : 2.0 , strenght mutual/opposite : 2.0
16695 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 0.5
16698 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 2.0
16701 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16704 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16707 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
